Ratio 20,Training pts 62
MSE loss to label: Clean,0.0004922252325022271
MSE loss to label:,MC,Naive,IVW5,IVW10,IVW5Imp,IVW10Imp
white,0.007807750321320866,1.2763537185048806,0.21496125928679038,0.08967606319418647,83.15817502858096,92.9740430184798
pink,0.012194427559792815,3.2848043741323494,0.6825820860030921,0.20632835891302828,79.2200080047875,93.71870177299286
MSE loss to ground truth,Naive,IVW5,IVW10,IVW5Imp,IVW10Imp
 ,1.2075765011851773,0.17073119757443947,0.06294985619836004,85.86166612161838,94.78709165534623
 ,3.0148725846951403,0.5960084902333145,0.16850515327978305,80.23105542639104,94.41086982795917
Average distance between train and test,Clean,Naive (white),Times,Naive (pink),Times
 ,12.198367542919266,32.47113608555248,2.661924718312071,30.545266326847266,2.504045415862038
Time,Training,MC,Naive,IVW5,IVW10
 ,1.1035370000000002,0.31415499999999996,0.0006559999999997679,0.002127499999999838,0.007937500000000153
Ratio 30,Training pts 54
MSE loss to label: Clean,0.0004658162761176983
MSE loss to label:,MC,Naive,IVW5,IVW10,IVW5Imp,IVW10Imp
white,0.011285795912477508,1.307555330640563,0.24133318058221054,0.08290449150579993,81.5431764203827,93.65958062629858
pink,0.017215061344569987,2.8160462683187935,0.5697417739549865,0.21399441488853863,79.7680251079423,92.40089137397962
MSE loss to ground truth,Naive,IVW5,IVW10,IVW5Imp,IVW10Imp
 ,1.277626315559635,0.22141492963336407,0.0636326906796473,82.66982082813641,95.01945992308599
 ,2.5661542751633344,0.5321146687934173,0.20263076103511807,79.26412009038121,92.10371866585376
Average distance between train and test,Clean,Naive (white),Times,Naive (pink),Times
 ,11.941969492273357,32.54504050420826,2.725265754971608,30.39971165770229,2.545619604653268
Time,Training,MC,Naive,IVW5,IVW10
 ,0.8455680000000001,0.41404300000000016,0.0010019999999999474,0.004825000000000301,0.005017500000000119
Ratio 40,Training pts 47
MSE loss to label: Clean,0.0004046897554647625
MSE loss to label:,MC,Naive,IVW5,IVW10,IVW5Imp,IVW10Imp
white,0.018073407643779755,1.2448362932453203,0.26839606054016035,0.08528396088381414,78.43924843800586,93.14898181017227
pink,0.02517574421335293,2.7332145134461916,0.6159416760732151,0.28192387635099986,77.4645688055929,89.68526345209787
MSE loss to ground truth,Naive,IVW5,IVW10,IVW5Imp,IVW10Imp
 ,1.1776373226757824,0.22076175260743985,0.0599854437072286,81.25384204826037,94.90628884188791
 ,2.53732337817197,0.56149673398613,0.2628102593821258,77.87050957648671,89.64222449361306
Average distance between train and test,Clean,Naive (white),Times,Naive (pink),Times
 ,12.423889699304208,33.89566611639681,2.728265216190314,31.06916624608595,2.5007599872547126
Time,Training,MC,Naive,IVW5,IVW10
 ,0.9087609999999999,0.45829049999999993,0.001060000000000283,0.004184500000000035,0.021152499999999907
Ratio 50,Training pts 39
MSE loss to label: Clean,0.0090643406744647
MSE loss to label:,MC,Naive,IVW5,IVW10,IVW5Imp,IVW10Imp
white,0.05627203036150862,1.1194220267862096,0.2693423451205815,0.10931833347481539,75.93915979178591,90.23439499500815
pink,0.06768655131343525,2.606221109738418,0.5553798633905033,0.25862792770493875,78.69022465840413,90.07651627336804
MSE loss to ground truth,Naive,IVW5,IVW10,IVW5Imp,IVW10Imp
 ,1.0420298477649796,0.19433217371909908,0.06135977157378429,81.35061350345035,94.11151497191821
 ,2.552707046737823,0.46160742830597934,0.23537794061419945,81.91694464525881,90.77928111982158
Average distance between train and test,Clean,Naive (white),Times,Naive (pink),Times
 ,14.224604841863883,35.12916486840259,2.469605676849125,32.951032923279705,2.316481427048349
Time,Training,MC,Naive,IVW5,IVW10
 ,0.9868939999999999,0.49309999999999987,0.0013239999999998808,0.003230000000000288,0.015175999999999856
